,hash,benchmark,result(z3+''),time(z3+''),result(z3+'sat.local_search=true'),time(z3+'sat.local_search=true'),result(z3+'sat.lookahead_simplify=true'),time(z3+'sat.lookahead_simplify=true'),result(z3+'sat.ddfw_search=true'),time(z3+'sat.ddfw_search=true')
0,00063d88244921d6ec46aeab6866a8e2,6s16.cnf,unknown,1000.00554741,unknown,1000.0046816240064,unknown,1000.0056347430218,unknown,1000.0051356829936
1,000a41cdca43be89ed62ea3abf2d0b64,snw_13_9_pre.cnf,sat,32.28909152799997,unknown,1000.0050389219832,sat,40.82025191298453,unknown,1000.0055714530172
2,002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,296.8102136330004,unknown,1000.0047590809992,unsat,281.8074907059781,unknown,1000.0052081949543
3,0033baadbd48d3f880e9b5a733bd4950,rope_0030.shuffled.cnf,unsat,0.0905419949999668,unknown,1000.0043411500228,unsat,0.1185125310439616,unknown,1000.0045214419952
4,003a77d2aa15a5f93aa2cfe79b986c9e,fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf,sat,0.2491453399998136,sat,0.0631897959974594,sat,7.827164101006929,sat,6.523122505983338
5,0041051c73dcdd885d412a38e8b09fba,rphp4_065_shuffled.cnf,unknown,1000.004803637,unknown,1000.0043485859932,unknown,1000.0048679570318,unknown,1000.0046515580034
6,0041f01bcd7d0d1f9541cea6da79ad57,SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf,unknown,1000.0046831460004,unknown,1000.0044108690054,unknown,1000.0048148930072,unknown,1000.004766783095
7,004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,810.6056614930003,unknown,1000.0067496930131,unknown,1000.0073419520048,unknown,1000.0067204310326
8,0059d4b1cf79efbc6e6ed50caee0448e,4col220_9_1.shuffled.cnf,unknown,1000.0045624020004,unknown,1000.0043911949906,unknown,1000.0052305010032,unknown,1000.004620295018
9,005ccb378ced61c02105ed7ee0a62038,mm-2x2-5-0-s.1.shuffled-as.sat03-1496.cnf,unsat,2.5865538279995235,unknown,1000.0045374119944,unsat,3.0426014219992794,unknown,1000.0044408219401
10,0062dc10471119b9e13da682216b190f,ex179_11.cnf,sat,177.6814489110002,unknown,1000.0053673860092,sat,101.82271836599102,unknown,1000.0060566390166
11,0064aa2e16c9d4b18d32a45d3073fce9,desmul.miter.used-as.sat04-330.cnf,unsat,19.80052673099999,unknown,1000.0050121120004,unsat,31.756793717038818,unknown,1000.0054894490167
12,0071b624d91ebe408b0585f8c4e34fd9,ctl_4291_567_7_unsat.cnf,unsat,897.6799474550007,unknown,1000.0045061790152,unknown,1000.0044968069996,unknown,1000.0049148659455
