hash,benchmark,result(z3+''),time(z3+''),result(z3+'sat.local_search=true'),time(z3+'sat.local_search=true'),result(z3+'sat.lookahead_simplify=true'),time(z3+'sat.lookahead_simplify=true'),result(z3+'sat.ddfw_search=true'),time(z3+'sat.ddfw_search=true')
064ba3c61c5f105104edec8305853711,puzzle35_sat.cnf,unknown,1000.0057214219996,unknown,1000.0048817709904,unknown,1000.0045148800128,unknown,1000.0053728020284
066813ab5f3b7b1cc6d2847c37f5fae7,ezfact32_10.shuffled.cnf,sat,0.0103807039995444,unknown,1000.0046469899826,sat,0.0109298339812085,sat,312.4720730130793
066d6a47dfd9648d913ba8dbce722d75,slp-synthesis-aes-bottom16.cnf,unknown,1000.006693391988,unknown,1000.0049426939804,unknown,1000.0053612559568,unknown,1000.0048737550388
06872e73223dc74c76b06f37a185dc22,VanDerWaerden_2-3-16_238.cnf,unknown,1000.0051335509924,unknown,1000.0041288670036,unknown,1000.0049528250238,unknown,1000.004748501
068c64314f0f8405bc28bb4c52647145,sokoban-p20.sas.cr.27.cnf,unknown,1000.005960991999,unknown,1000.005184682028,unknown,1000.0066087679588,unknown,1000.0054100470152
0697524f77ccd503f7e5fe15f23a1268,crafted_n12_d6_c4_num27.cnf,unknown,1000.0077007110084,unknown,5.994955429981928,unknown,1000.0320409639972,unknown,1000.0114325379254
069f7d519e820f6b879f880703907bb3,SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002.cnf,unknown,1000.0061024760072,unknown,1000.004336840997,unknown,1000.0047107579884,unknown,1000.0050065850372
06a36581f14e399a76a5110449ebe739,driverlog2_v01a.renamed-as.sat05-3961.cnf,sat,0.070846282003913,sat,0.0157796430285088,sat,0.0094811869785189,sat,0.0155288761015981
06d2543c151c2478fde159c6dc0424ac,udiv45prop.cnf,unknown,1000.0053212749916,unknown,1000.0049378739786,unknown,1000.0051086859894,unknown,1000.0043211039156
06d96f79264e9991a5a0a417c401657a,g2-mult1.c.50.smt2-cvc4.cnf,sat,1.526801665997482,unknown,1000.0053410680266,sat,0.6966161850141361,unknown,1000.006003507995
06e46ab0acac57a61638cbb741949a98,complete-500-0.1-1-9876543215001.cnf,sat,0.3975030450092163,sat,1.0946808010339737,sat,0.1200153669924475,unknown,1000.005107263918
06e928088bd822602edb83e41ce8dadb,satcoin-genesis-SAT-10.cnf,sat,13.737611121003283,unknown,1000.0052859259886,sat,3.82980544300517,unknown,1000.0057160870638
06e997650b24ac5b5f87c1c64f4a5dcb,edn_9789_8.cnf_0.51000000.unsat.cnf,unsat,2.509347298007924,unknown,1000.0056050470448,unsat,1.3525087619782423,unknown,1000.0057976780226
06f538d7af257560476f9100e36d4445,gcdmax16bits_22.cnf,sat,71.71122258600371,unknown,1000.0049436959672,sat,50.76967471500393,unknown,1000.0060246259673
0701a5b57f9b37c5fcb77463c8582693,T84.2.0.cnf,unknown,37.5010642149864,unknown,6.604009928996675,unknown,30.945775765983853,unknown,6.868098364910111
070fde310eca4ddf6967896052efcb30,at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,unknown,1000.0057116579992,unknown,1000.0051077270182,unknown,1000.0054886750296,unknown,1000.00524622004
072785fd927ff0fd180ce8b9cc00078f,20180321_140826713_p_cnf_320_1120.cnf,unknown,1000.0048755290044,unknown,1000.0041693790116,unknown,1000.005082144984,sat,0.0129376959521323
073c28dfd3204f4c51e03c297ac841c1,mod2c-rand3bip-unsat-120-3.shuffled-as.sat05-2340.cnf,unsat,51.50814791000448,unknown,1000.004114195006,unsat,9.961381493951194,unknown,1000.0038727279752
075c4fe7ae4cef57f1a4c00e58142e23,x1.1_64.shuffled-as.sat03-1585.cnf,unknown,1000.004693019,unknown,1000.0042952590156,unknown,1000.004887912015,unknown,1000.0043199310312
075e1eef00500b25ceb5ea4823ccf1b0,3col140_5_1.shuffled.cnf,sat,0.1752813909988617,sat,0.5691352299763821,sat,0.059145740000531,unknown,1000.0046068090014
076305ce31dd18724a3de91045800acc,26_stack_cas_longest_true-unreach-call.i-cbmc-u2-sc2016.cnf,unknown,30.068764467010624,unknown,16.32782014500117,unknown,17.415805641037878,unknown,16.529053812031634
