c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,result(z3+''),time(z3+''),result(z3+'sat.local_search=true'),time(z3+'sat.local_search=true'),result(z3+'sat.lookahead_simplify=true'),time(z3+'sat.lookahead_simplify=true'),result(z3+'sat.ddfw_search=true'),time(z3+'sat.ddfw_search=true'),select
13478,575,23.44,0.0426621160409556,0.0050452589404956,0.0,0.0050452589404956,0.0050452589404956,0.0,0.0050452589404956,2.2455492311416747,0.0034782608695652,0.0869565217391304,0.0932180464724757,0.0425879210565365,0.0,0.0425879210565365,0.0425879210565365,1.0,0.0,1.0,1.0,0.0,0.3529411764705882,0.0,0.3529411764705882,0.3529411764705882,0.0,0.0,0.9812286689419796,0.0,0.9812286689419796,0.9812286689419796,0.0034129692832764,0.0,0.0034129692832764,0.0034129692832764,0.0,sat,0.1315541029980522,sat,0.0117232310003601,sat,0.0083655619528144,sat,0.0118392630247399,z3+'sat.lookahead_simplify=true'
216,72,3.0,0.3333333333333333,0.037037037037037,0.0,0.037037037037037,0.037037037037037,0.0,0.037037037037037,0.2447362525931402,0.0277777777777777,0.0555555555555555,0.9512521942301256,0.0416666666666666,0.0,0.0416666666666666,0.0416666666666666,0.4313271604938271,0.9055607425500036,0.0,1.0,1.2199327762677363,0.0,0.0,0.0,0.0,0.0,0.0,0.4351851851851852,0.4629629629629629,0.8981481481481481,0.5925925925925926,0.0198688271604938,0.3282357573665431,0.0092592592592592,0.037037037037037,1.663330062631046,unsat,0.009657000999141,unknown,1000.0040811179788,unsat,0.00891167903319,unknown,1000.00427630404,z3+'sat.lookahead_simplify=true'
120,30,4.0,0.25,0.1333333333333333,0.0,0.1333333333333333,0.1333333333333333,0.0,0.1333333333333333,0.0,0.1333333333333333,0.1333333333333333,0.0,0.05,0.0,0.05,0.05,0.35,1.020204061220407,0.0,1.0,1.0104127537805414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0366666666666666,0.4453617714151232,0.0166666666666666,0.0666666666666666,0.970115783986938,unsat,0.022544473002199,unknown,1000.0043711100006,unsat,0.0230881199822761,unknown,1000.00420489104,z3+''
9016,2141,4.211116300794021,0.237466725820763,0.0014185689709549,0.2905882625855736,0.0003327417923691,0.0036601597160603,2.6984437851796947,0.0014185689709549,0.0652929534521304,0.001401214385801,0.002802428771602,0.1601212687078199,0.002464661920248,0.2588332206828032,0.0006654835847382,0.0055456965394853,0.5008651286601598,0.5883568101901758,0.0,1.0,0.719995850810385,0.2337108546384344,0.7540283228511867,0.0,1.0,3.3741339516932607,0.1762246037551362,0.0,0.9645075421472936,0.9645075421472936,0.4957852706299911,0.0006992602698736,0.4094031141087088,0.0,0.0021073646850044,2.3420752051439377,sat,101.02756238000438,unknown,1000.0042642340122,sat,833.9540991200483,unknown,1000.0045056570088,z3+''
4788,830,5.768674698795181,0.1733500417710944,0.0040185805880162,1.1446452525176538,0.0016708437761069,0.0509607351712614,2.713818569565865,0.0040185805880162,0.3622341424820455,0.0024096385542168,0.0216867469879518,1.1259315978399462,0.0031116948999003,0.9615910922629688,0.0012531328320802,0.0279866332497911,0.3298825768124013,0.5250532325459957,0.0,1.0,0.9845154664726136,0.0925378215658643,1.0964077041144682,0.0,0.6470588235294117,2.360331421368295,0.1014591804867836,0.1263575605680869,0.6510025062656641,0.777360066833751,0.5394736842105263,0.0019405944580326,1.231849312073601,0.0006265664160401,0.0269423558897243,2.3590885700251336,unsat,5.27827240699844,unknown,1000.0042929509946,unsat,3.5943865870358422,unknown,1000.0043273860356,z3+'sat.lookahead_simplify=true'
47714,702,67.96866096866097,0.0147126629500775,0.003938352054209,0.1409187364105006,0.0024311522823489,0.0053653015886322,3.9729068126472944,0.003938352054209,1.9072847330876512,0.0028490028490028,0.0769230769230769,0.1331765804579273,0.0146917047407469,0.0,0.0146917047407469,0.0146917047407469,0.998824532288414,0.0091681115491681,0.9047619047619048,1.0,0.0856985522177468,0.4177699001044613,0.1673878430792126,0.2650602409638554,0.642512077294686,2.7685109713681046,0.0699296024819039,0.9769250115270152,0.0,0.9769250115270152,0.9769250115270152,0.0027832621411026,0.1810284768957137,0.0015718656997946,0.0040868508194659,3.507096566275488,unknown,1000.005201658998,unknown,1000.0043147879768,unknown,1000.0048794469913,sat,58.48702887597028,z3+'sat.ddfw_search=true'
169583,15232,11.133337710084032,0.0898203239711527,0.0002257081223011,0.8291971693585145,4.717453990081553e-05,0.0011321889576195,4.018836499087074,0.0002257081223011,0.2250769190729903,0.0001313025210084,0.0002626050420168,0.932712080127394,0.0003751757214446,0.8293786933928085,8.845226231402911e-05,0.0019459497709086,0.1142390451873124,2.046515054307531,0.0,1.0,0.68424693653604,0.0605320784926748,0.8900926587648216,0.0,0.3333333333333333,2.625583539255133,0.0538791586861058,0.176314842879298,0.2093841953497697,0.3856990382290677,0.2587818354434112,4.08507141615838e-05,0.7260296550677368,1.1793634975203882e-05,0.0006132690187106,2.2416555233945377,unsat,974.1800218450009,unknown,1000.0046110529802,unknown,1000.0047900140052,unknown,1000.0056107580896,z3+''
128,32,4.0,0.25,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.0,0.046875,0.0,0.046875,0.046875,0.421875,0.6361320013821358,0.0,1.0,0.7968161072486227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3828125,0.0478515625,0.2936223381620032,0.015625,0.0625,0.8815322611881637,unsat,0.1014842369986581,unknown,1000.0041988170124,unsat,0.0343075360287912,unknown,1000.0044778529556,z3+'sat.lookahead_simplify=true'
60686,900,67.42888888888889,0.0148304386514187,0.0036146356289387,0.1787349362314765,0.0021092179415351,0.0052400883235013,4.952088555995754,0.0036146356289387,1.468230662344528,0.0022222222222222,0.0433333333333333,0.2622898858843354,0.0041743839875204,0.1866301542585764,0.0024717397752364,0.006443001680783,0.9938892265412584,0.0235878294567113,0.8181818181818181,1.0,0.2480952793001435,0.1903357019486439,0.216436593705905,0.0928571428571428,0.3229571984435797,2.814930015503435,0.0411956109903868,0.9347790264640938,0.0,0.9347790264640938,0.9347790264640938,0.0020772867254757,0.173741746828713,0.0012358698876182,0.0030814355864614,4.426691347358439,unknown,1000.004517527006,sat,4.0170805850066245,unknown,1000.0047864590306,sat,44.14616434101481,z3+'sat.local_search=true'
33068,5203,6.35556409763598,0.1573424458691182,0.0006521486275806,1.5044005436679897,0.0002721664449014,0.0242530543123261,2.3863263995301325,0.0006521486275806,0.3918188743790308,0.0003843936190659,0.0090332500480492,1.058469340617541,0.0003720485717861,1.0613660144757109,0.0001814442966009,0.0078323454699407,0.4570897535874926,0.7505213227140121,0.0,1.0,1.5054193012985593,0.1509581550385021,0.5496491576583283,0.0,0.6666666666666667,2.311303818184212,0.082974022758568,0.2295875166323938,0.4641345107052135,0.6937220273376073,0.4648300471755171,0.0002547938713047,1.4101987521794883,3.024071610015725e-05,0.0086488448046449,2.4984452429798965,unsat,133.75578314700397,unknown,1000.004705777974,unsat,70.63612264703261,unknown,1000.0045048430328,z3+'sat.lookahead_simplify=true'
